"DateTime","Netflow","Price"
"2015-08-03 00:00:00",14210552.15,1.54
"2015-08-10 00:00:00",1940936.26,1.36
"2015-08-17 00:00:00",291913.13,1.36
"2015-08-24 00:00:00",252264.75,1.23
"2015-08-31 00:00:00",239893.17,1.28
"2015-09-07 00:00:00",1008986.61,1.16
"2015-09-14 00:00:00",97665.74,0.892679
"2015-09-21 00:00:00",109989,0.8153
"2015-09-28 00:00:00",452326.4,0.646314
"2015-10-05 00:00:00",306111.76,0.622679
"2015-10-12 00:00:00",427769.23,0.559836
"2015-10-19 00:00:00",661988.44,0.518007
"2015-10-26 00:00:00",1578374.5,0.946793
"2015-11-02 00:00:00",784828.53,0.933186
"2015-11-09 00:00:00",96562.14,0.893357
"2015-11-16 00:00:00",-221820.75364,0.925807
"2015-11-23 00:00:00",696110.22,0.894679
"2015-11-30 00:00:00",218924.22,0.845764
"2015-12-07 00:00:00",193760.91,0.852571
"2015-12-14 00:00:00",1353319.05,0.943014
"2015-12-21 00:00:00",43555.67,0.9146
"2015-12-28 00:00:00",265312.11,0.914421
"2016-01-04 00:00:00",291728.5,0.959543
"2016-01-11 00:00:00",241356.33,1.18
"2016-01-18 00:00:00",72205.97,1.52
"2016-01-25 00:00:00",856501.21,2.43
"2016-02-01 00:00:00",-217874.174432,2.47
"2016-02-08 00:00:00",608960.12,4.48
"2016-02-15 00:00:00",268594.7,4.46
"2016-02-22 00:00:00",1598921.5,5.91
"2016-02-29 00:00:00",2659236.48,8.81
"2016-03-07 00:00:00",1425818.39,11.25
"2016-03-14 00:00:00",418346.54,11.4
"2016-03-21 00:00:00",175092.95,11.21
"2016-03-28 00:00:00",912847.18,11.51
"2016-04-04 00:00:00",583264.91,10.11
"2016-04-11 00:00:00",93095.47,8.38
"2016-04-18 00:00:00",518860.58,8.45
"2016-04-25 00:00:00",1310855.41,7.85
"2016-05-02 00:00:00",882454.2,9.46
"2016-05-09 00:00:00",5511787.2,9.95
"2016-05-16 00:00:00",1569055.92,13.03
"2016-05-23 00:00:00",848200.85,12.3
"2016-05-30 00:00:00",-89469.8321,13.5
"2016-06-06 00:00:00",724577.07,14.28
"2016-06-13 00:00:00",1323652.23,16.33
"2016-06-20 00:00:00",1853844.51,13.29
"2016-06-27 00:00:00",95154.19,12.51
"2016-07-04 00:00:00",1006126.85,10.73
"2016-07-11 00:00:00",1115590.65,11.13
"2016-07-18 00:00:00",30479589.82,12.76
"2016-07-25 00:00:00",5010289.63,12.71
"2016-08-01 00:00:00",999421.08,10.45
"2016-08-08 00:00:00",1491193.59,11.72
"2016-08-15 00:00:00",-77199.658288,11.03
"2016-08-22 00:00:00",-102833.250537,11.16
"2016-08-29 00:00:00",197571.04,11.63
"2016-09-05 00:00:00",15992.81,11.67
"2016-09-12 00:00:00",1359927.29,12.19
"2016-09-19 00:00:00",1155823.89,13.28
"2016-09-26 00:00:00",1789469.35,13.18
"2016-10-03 00:00:00",301276.07,12.9
"2016-10-10 00:00:00",3283125.33,11.92
"2016-10-17 00:00:00",129278.83,12.11
"2016-10-24 00:00:00",655753.02,11.26
"2016-10-31 00:00:00",358085.43,10.99
"2016-11-07 00:00:00",710911.87,10.48
"2016-11-14 00:00:00",642923.56,9.88
"2016-11-21 00:00:00",447420.19,9.47
"2016-11-28 00:00:00",687230,8.18
"2016-12-05 00:00:00",805134.38,7.89
"2016-12-12 00:00:00",367562.53,8.06
"2016-12-19 00:00:00",1282714.43,7.52
"2016-12-26 00:00:00",222752.24,7.76
"2017-01-02 00:00:00",696254.47,9.65
"2017-01-09 00:00:00",408162.85,9.99
"2017-01-16 00:00:00",-87952.396601,10.36
"2017-01-23 00:00:00",100634.59,10.59
"2017-01-30 00:00:00",418828.31,10.83
"2017-02-06 00:00:00",78661.39,11.28
"2017-02-13 00:00:00",317348.89,12.64
"2017-02-20 00:00:00",411679.91,13.05
"2017-02-27 00:00:00",365893.77,17.64
"2017-03-06 00:00:00",510223.73,19.2
"2017-03-13 00:00:00",1845572.68,35.74
"2017-03-20 00:00:00",579592.28,45.44
"2017-03-27 00:00:00",133297.72,50.45
"2017-04-03 00:00:00",-35033.416458,44.18
"2017-04-10 00:00:00",134162.73,47.54
"2017-04-17 00:00:00",321270.22,48.56
"2017-04-24 00:00:00",813494.82,60.58
"2017-05-01 00:00:00",1506880.45,83.73
"2017-05-08 00:00:00",26925.9,86.56
"2017-05-15 00:00:00",534102.63,104.16
"2017-05-22 00:00:00",741136.28,168.13
"2017-05-29 00:00:00",544830.46,216.83
"2017-06-05 00:00:00",587401.55,275.86
"2017-06-12 00:00:00",948630.69,351.52
"2017-06-19 00:00:00",1961926.85,312.53
"2017-06-26 00:00:00",3646322.49,275.17
"2017-07-03 00:00:00",402293.92,259.89
"2017-07-10 00:00:00",849673.51,193.58
"2017-07-17 00:00:00",1020252.43,213.77
"2017-07-24 00:00:00",442451.41,204.58
"2017-07-31 00:00:00",306374.3,226.15
"2017-08-07 00:00:00",357433.32,294.11
"2017-08-14 00:00:00",-180949.406562,294.86
"2017-08-21 00:00:00",-215814.504153,324.93
"2017-08-28 00:00:00",168155.81,367.62
"2017-09-04 00:00:00",1182170.63,312.31
"2017-09-11 00:00:00",908736.58,267.55
"2017-09-18 00:00:00",-31994.064576,277.7
"2017-09-25 00:00:00",30367.81,296.65
"2017-10-02 00:00:00",53918.9,299.7
"2017-10-09 00:00:00",273836.88,313.92
"2017-10-16 00:00:00",14922.04,311.44
"2017-10-23 00:00:00",497911.55,294.64
"2017-10-30 00:00:00",179686.29,298.46
