Date,Bitcoin,Crypto,Cryptocurrency,ETH,Crytpo Regulations,Crypto Ban,Crypto Bubble,Bull,Bear,Hack,Crypto Market,Stocks,Time to buy,should I sell,how to buy,exchange,wallet,mining,blockchain,Bitcoin_delta,Crypto_delta,Cryptocurrency_delta,ETH_delta,Crytpo Regulations_delta,Crypto Ban_delta,Crypto Bubble_delta,Bull_delta,Bear_delta,Hack_delta,Crypto Market_delta,Stocks_delta,Time to buy_delta,should I sell_delta,how to buy_delta,exchange_delta,wallet_delta,mining_delta,blockchain_delta,Open,High,Low,Close,Volume,PriceDelta,VolumeDelta,EMA3,EMA7,EMA14,EMA20,EMA50,Volume_USDT,VolumeDelta_USDT,Volatility_USDT,Yesterday_Price,3day_Past_Mean_Price,7day_Past_Mean_Price,Yesterday_Volume,3day_Past_Mean_Volume,7day_Past_Mean_Volume,Yesterday_Vol_USDT,3day_Past_Mean_Vol_USDT,7day_Past_Mean_Vol_USDT,RSI,RSI_BuySellFlag,EMA_BuySellFlag
12/18/2017,45,4,7,1,0,6,0,99,94,45,1,17,8,4,76,67,53,25,11,-7,0,1,0,0,6,0,-1,-6,-12,1,0,1,4,7,10,8,-5,0,19106.40039,19371,18355.90039,19114.19922,14839499776,-26.60156,1524899840,18923.0108,18070.48285,16547.06035,15389.41404,11844.27716,2517230080,586210048,0.02256,19140.80078,19250.80013,17978.12863,13314599936,13631566507,13794685513,1931020032,2013660032,2122948553,75.22016667,0,0
12/19/2017,44,5,7,2,0,0,0,91,89,45,0,17,5,0,88,72,55,26,14,-1,1,0,1,0,-6,0,-8,-5,0,-1,0,-3,-4,12,5,2,1,3,19118.30078,19177.80078,17275.40039,17776.69922,16894499840,-1337.5,2055000064,18349.85501,17997.03695,16711.0122,15616.77453,12076.92117,3073860096,556630016,0.037202,19114.19922,18677.23307,18029.74275,14839499776,15016199851,14121928411,2517230080,2507370069,2241951433,65.74453141,0,0
12/20/2017,82,5,7,1,0,0,0,97,89,49,0,24,4,0,75,71,46,29,15,38,0,0,-1,0,0,0,6,0,4,0,7,-1,0,-13,-1,-9,3,1,17760.30078,17934.69922,16077.7002,16624.59961,22149699584,-1152.09961,5255199744,17487.22731,17653.92761,16699.49052,15712.75787,12255.2615,3751790080,677929984,0.030111,17776.69922,17838.49935,18060.65709,16894499840,17961233067,15432328338,3073860096,3114293419,2463901458,58.86566294,0,0
12/21/2017,51,4,6,1,0,0,0,87,87,50,3,19,7,0,66,70,53,30,15,-31,-1,-1,0,0,0,0,-10,-2,1,3,-5,3,0,-9,-1,7,1,0,16642.40039,17567.69922,15342.7002,15802.90039,16516599808,-821.69922,-5633099776,16645.06385,17191.17081,16579.94517,15721.34287,12394.38459,3106720000,-645070080,0.046599,16624.59961,16734.73307,17951.92857,22149699584,18520266411,15823642624,3751790080,3310790059,2573978606,54.48684805,0,0
12/22/2017,44,4,7,2,0,0,0,77,95,51,3,28,4,0,68,68,54,27,19,-7,0,1,1,0,0,0,-10,8,1,0,9,-3,0,2,-2,1,-3,4,15898,15943.40039,11833,13831.79981,22197999616,-1971.10058,5681399808,15238.43183,16351.32806,16213.52579,15541.38639,12450.75382,4687949824,1581229824,0.096001,15802.90039,15419.7666,17398.34277,16516599808,20288099669,16950499767,3106720000,3848819968,2951614299,45.70410208,0,-1
12/23/2017,69,5,5,1,0,0,0,86,89,39,1,19,5,0,64,68,48,24,17,25,1,-2,-1,0,0,0,9,-6,-12,-2,-9,1,0,-4,0,-6,-3,-2,13948.7002,15603.2002,13828.79981,14699.2002,13086000128,867.40039,-9111999488,14968.81602,15938.29609,16011.61571,15461.17818,12538.92818,2353740032,-2334209792,0.04474,13831.79981,14777.9668,16712.8856,22197999616,17266866517,16999842670,4687949824,3382803285,3060330021,49.55739194,0,0
12/24/2017,42,3,4,1,0,0,0,80,83,45,0,12,9,0,67,59,50,26,13,-27,-2,-1,0,0,0,0,-6,-6,6,-1,-7,4,0,3,-9,2,2,-4,14608.2002,14626,12747.7002,13925.79981,11572299776,-773.40039,-1513700352,14447.30791,15435.17202,15733.50693,15314.95167,12593.31531,2611589888,257849856,0.04739,14699.2002,14152.26661,15967.88547,13086000128,15618766507,16750942647,2353740032,3217759915,3157554286,46.39575251,0,0
12/25/2017,34,3,4,1,0,0,0,94,90,43,4,10,2,0,64,54,40,19,8,-8,0,0,0,0,0,0,14,7,-2,4,-2,-7,0,-3,-5,-10,-7,-5,13995.90039,14593,13448.90039,14026.59961,10664699904,100.7998,-907599872,14236.95376,15083.02892,15505.91928,15192.25147,12649.52253,1708380032,-903209856,0.02278,13925.79981,14217.19987,15241.08552,11572299776,11774333269,16154542665,2611589888,2224569984,3042004279,46.87149447,0,0
12/26/2017,32,3,4,1,0,0,0,98,96,44,3,12,4,0,63,63,49,19,10,-2,0,0,0,0,0,0,4,6,1,-1,2,2,0,-1,9,9,0,2,14036.59961,16461.19922,14028.90039,16099.79981,13454300160,2073.2002,2789600256,15168.37679,15337.22164,15585.10335,15278.68465,12784.82753,1854780032,146400000,0.01874,14026.59961,14684.06641,15001.52846,10664699904,11897099947,15663085568,1708380032,2058249984,2867849984,55.59969086,0,1
12/27/2017,30,3,4,1,0,0,0,88,85,42,1,22,7,5,69,66,52,27,16,-2,0,0,0,0,0,0,-10,-11,-2,-2,10,3,5,6,3,3,8,6,16163.5,16930.90039,15114.29981,15838.5,12487600128,-261.29981,-966700032,15503.43839,15462.54123,15618.88957,15332.0004,12904.57939,1939949952,85169920,0.018382,16099.79981,15321.63314,14889.22852,13454300160,12202200064,14282785646,1854780032,1834370005,2609015680,54.38693323,0,0
12/28/2017,29,4,4,1,0,0,3,88,82,48,2,26,7,0,73,72,51,19,13,-1,1,0,0,0,0,3,0,-3,6,1,4,0,-5,4,6,-1,-8,-3,15864.09961,15888.40039,13937.29981,14606.5,12336499712,-1232,-151100416,15054.9692,15248.53092,15483.9043,15262.90512,12971.32137,2211409920,271459968,0.03251,15838.5,15514.93327,14718.31418,12487600128,12759466667,13685628489,1939949952,2002046635,2481114240,48.96399361,0,-1
12/29/2017,29,3,4,1,0,3,5,78,83,43,4,22,3,3,71,75,47,26,14,0,-1,0,0,0,3,2,-10,1,-5,2,-4,-4,3,-2,3,-4,7,1,14695.79981,15279,14307,14656.2002,13025500160,49.7002,689000448,14855.5847,15100.44824,15373.54375,15205.1237,13037.39505,1929090048,-282319872,0.01431,14606.5,15033.7334,14836.08566,12336499712,12616533333,12375271424,2211409920,2026816640,2086991415,49.18411983,0,0
