"DateTime","Total Volume","Price"
"2015-08-03 00:00:00",12829455.7,1.54
"2015-08-10 00:00:00",8428366.39,1.36
"2015-08-17 00:00:00",3460608.27,1.36
"2015-08-24 00:00:00",0,1.23
"2015-08-31 00:00:00",1988022.51,1.28
"2015-09-07 00:00:00",1035800,1.16
"2015-09-14 00:00:00",1128617,0.892679
"2015-09-21 00:00:00",0,0.8153
"2015-09-28 00:00:00",200000,0.646314
"2015-10-05 00:00:00",0,0.622679
"2015-10-12 00:00:00",500000,0.559836
"2015-10-19 00:00:00",200000,0.518007
"2015-10-26 00:00:00",2324477.8,0.946793
"2015-11-02 00:00:00",1354091,0.933186
"2015-11-09 00:00:00",1509840,0.893357
"2015-11-16 00:00:00",1349533,0.925807
"2015-11-23 00:00:00",1959998,0.894679
"2015-11-30 00:00:00",0,0.845764
"2015-12-07 00:00:00",150000,0.852571
"2015-12-14 00:00:00",1506285.6,0.943014
"2015-12-21 00:00:00",0,0.9146
"2015-12-28 00:00:00",265881.95,0.914421
"2016-01-04 00:00:00",576021,0.959543
"2016-01-11 00:00:00",631838.52,1.18
"2016-01-18 00:00:00",3191475.25,1.52
"2016-01-25 00:00:00",2974823.61,2.43
"2016-02-01 00:00:00",1062936.98,2.47
"2016-02-08 00:00:00",3540864.12,4.48
"2016-02-15 00:00:00",2011445.64,4.46
"2016-02-22 00:00:00",5804234.15,5.91
"2016-02-29 00:00:00",7020530.7,8.81
"2016-03-07 00:00:00",5369713.44,11.25
"2016-03-14 00:00:00",4178227.3,11.4
"2016-03-21 00:00:00",2149261.16,11.21
"2016-03-28 00:00:00",2367724.45,11.51
"2016-04-04 00:00:00",1794762.39,10.11
"2016-04-11 00:00:00",1577361.5,8.38
"2016-04-18 00:00:00",1095696.38,8.45
"2016-04-25 00:00:00",2621199.4,7.85
"2016-05-02 00:00:00",3468933.65,9.46
"2016-05-09 00:00:00",13959741.1,9.95
"2016-05-16 00:00:00",4348774.51,13.03
"2016-05-23 00:00:00",3966402.25,12.3
"2016-05-30 00:00:00",1346278,13.5
"2016-06-06 00:00:00",2990279.78,14.28
"2016-06-13 00:00:00",10266068.25,16.33
"2016-06-20 00:00:00",12803148.39,13.29
"2016-06-27 00:00:00",1705251.16,12.51
"2016-07-04 00:00:00",11869507.59,10.73
"2016-07-11 00:00:00",5758310.44,11.13
"2016-07-18 00:00:00",52358752.19,12.76
"2016-07-25 00:00:00",58747628.7,12.71
"2016-08-01 00:00:00",33422765.43,10.45
"2016-08-08 00:00:00",20386236.34,11.72
"2016-08-15 00:00:00",13087052.4,11.03
"2016-08-22 00:00:00",13626111.69,11.16
"2016-08-29 00:00:00",5941231.09,11.63
"2016-09-05 00:00:00",3521010.63,11.67
"2016-09-12 00:00:00",6523945.44,12.19
"2016-09-19 00:00:00",17157536.8,13.28
"2016-09-26 00:00:00",10513185.54,13.18
"2016-10-03 00:00:00",5289367.18,12.9
"2016-10-10 00:00:00",16699491.72,11.92
"2016-10-17 00:00:00",5364028.5,12.11
"2016-10-24 00:00:00",6167134.52,11.26
"2016-10-31 00:00:00",31005352.57,10.99
"2016-11-07 00:00:00",9598255.09,10.48
"2016-11-14 00:00:00",5934320.53,9.88
"2016-11-21 00:00:00",5181810.02,9.47
"2016-11-28 00:00:00",4729181.87,8.18
"2016-12-05 00:00:00",6554021.05,7.89
"2016-12-12 00:00:00",2550183.38,8.06
"2016-12-19 00:00:00",7293544.77,7.52
"2016-12-26 00:00:00",4372436.98,7.76
"2017-01-02 00:00:00",6552316.33,9.65
"2017-01-09 00:00:00",4495967.21,9.99
"2017-01-16 00:00:00",3958352.38,10.36
"2017-01-23 00:00:00",2285666.55,10.59
"2017-01-30 00:00:00",4045655.08,10.83
"2017-02-06 00:00:00",4204671.08,11.28
"2017-02-13 00:00:00",6622906.23,12.64
"2017-02-20 00:00:00",6666472.63,13.05
"2017-02-27 00:00:00",50599261.54,17.64
"2017-03-06 00:00:00",74288656.79,19.2
"2017-03-13 00:00:00",70710880.73,35.74
"2017-03-20 00:00:00",59672557.26,45.44
"2017-03-27 00:00:00",67186063.69,50.45
"2017-04-03 00:00:00",45816994.29,44.18
"2017-04-10 00:00:00",26997707.86,47.54
"2017-04-17 00:00:00",42021863.65,48.56
"2017-04-24 00:00:00",75409801.66,60.58
"2017-05-01 00:00:00",142690355.32,83.73
"2017-05-08 00:00:00",114627047.1,86.56
"2017-05-15 00:00:00",87374988.13,104.16
"2017-05-22 00:00:00",102612022.42,168.13
"2017-05-29 00:00:00",100340356.54,216.83
"2017-06-05 00:00:00",103735162.4,275.86
"2017-06-12 00:00:00",113571961.16,351.52
"2017-06-19 00:00:00",50342250.04,312.53
"2017-06-26 00:00:00",56535449.36,275.17
"2017-07-03 00:00:00",71716688.21,259.89
"2017-07-10 00:00:00",122386536.35,193.58
"2017-07-17 00:00:00",116815128.14,213.77
"2017-07-24 00:00:00",137093690.42,204.58
"2017-07-31 00:00:00",47469872.08,226.15
"2017-08-07 00:00:00",149621347.12,294.11
"2017-08-14 00:00:00",96243802.46,294.86
"2017-08-21 00:00:00",71080179.69,324.93
"2017-08-28 00:00:00",131656971.05,367.62
"2017-09-04 00:00:00",93131176.27,312.31
"2017-09-11 00:00:00",76687257.38,267.55
"2017-09-18 00:00:00",64491249.87,277.7
"2017-09-25 00:00:00",44851245.71,296.65
"2017-10-02 00:00:00",69752841.73,299.7
"2017-10-09 00:00:00",65327707.47,313.92
"2017-10-16 00:00:00",65842727.02,311.44
"2017-10-23 00:00:00",70271289.53,294.64
