"DateTime","Inflow","Price"
"2015-08-03 00:00:00",15280265.53,1.54
"2015-08-10 00:00:00",8681251.07,1.36
"2015-08-17 00:00:00",3425442.31,1.36
"2015-08-24 00:00:00",963762.11,1.23
"2015-08-31 00:00:00",2481840.45,1.28
"2015-09-07 00:00:00",1661825.28,1.16
"2015-09-14 00:00:00",1777326.82,0.892679
"2015-09-21 00:00:00",1052835.36,0.8153
"2015-09-28 00:00:00",1237374.16,0.646314
"2015-10-05 00:00:00",644502.03,0.622679
"2015-10-12 00:00:00",1866794.22,0.559836
"2015-10-19 00:00:00",1888604.16,0.518007
"2015-10-26 00:00:00",4053962.46,0.946793
"2015-11-02 00:00:00",2280942.68,0.933186
"2015-11-09 00:00:00",2396521.73,0.893357
"2015-11-16 00:00:00",1459777.11,0.925807
"2015-11-23 00:00:00",2679732.36,0.894679
"2015-11-30 00:00:00",664412.25,0.845764
"2015-12-07 00:00:00",1165778.71,0.852571
"2015-12-14 00:00:00",2453716.8,0.943014
"2015-12-21 00:00:00",328639.34,0.9146
"2015-12-28 00:00:00",1262998.53,0.914421
"2016-01-04 00:00:00",1237038.84,0.959543
"2016-01-11 00:00:00",1388046.6,1.18
"2016-01-18 00:00:00",3991310.29,1.52
"2016-01-25 00:00:00",3525096.99,2.43
"2016-02-01 00:00:00",1370351.11,2.47
"2016-02-08 00:00:00",4042228.49,4.48
"2016-02-15 00:00:00",1775175.08,4.46
"2016-02-22 00:00:00",4407185.77,5.91
"2016-02-29 00:00:00",5629930.62,8.81
"2016-03-07 00:00:00",4289193.68,11.25
"2016-03-14 00:00:00",3136160.79,11.4
"2016-03-21 00:00:00",1515992.07,11.21
"2016-03-28 00:00:00",1849324.11,11.51
"2016-04-04 00:00:00",1783139.24,10.11
"2016-04-11 00:00:00",1367913.72,8.38
"2016-04-18 00:00:00",1385775.99,8.45
"2016-04-25 00:00:00",2782640.81,7.85
"2016-05-02 00:00:00",3201244.18,9.46
"2016-05-09 00:00:00",11454732.3,9.95
"2016-05-16 00:00:00",4507646.47,13.03
"2016-05-23 00:00:00",3471006.69,12.3
"2016-05-30 00:00:00",1240863,13.5
"2016-06-06 00:00:00",2598294.16,14.28
"2016-06-13 00:00:00",9359201.08,16.33
"2016-06-20 00:00:00",12223796.33,13.29
"2016-06-27 00:00:00",1536453.58,12.51
"2016-07-04 00:00:00",2928619.42,10.73
"2016-07-11 00:00:00",3597672.88,11.13
"2016-07-18 00:00:00",45893787.92,12.76
"2016-07-25 00:00:00",15865035.23,12.71
"2016-08-01 00:00:00",8631625.79,10.45
"2016-08-08 00:00:00",7368752.08,11.72
"2016-08-15 00:00:00",2153015.68,11.03
"2016-08-22 00:00:00",2279593.42,11.16
"2016-08-29 00:00:00",2433925.69,11.63
"2016-09-05 00:00:00",1578222.17,11.67
"2016-09-12 00:00:00",3828376.52,12.19
"2016-09-19 00:00:00",3416785.07,13.28
"2016-09-26 00:00:00",3552382.35,13.18
"2016-10-03 00:00:00",1609819.86,12.9
"2016-10-10 00:00:00",5513456.19,11.92
"2016-10-17 00:00:00",1199011.14,12.11
"2016-10-24 00:00:00",3816577.52,11.26
"2016-10-31 00:00:00",1836031.86,10.99
"2016-11-07 00:00:00",2443508.5,10.48
"2016-11-14 00:00:00",2863304.78,9.88
"2016-11-21 00:00:00",1503154.57,9.47
"2016-11-28 00:00:00",3272387.92,8.18
"2016-12-05 00:00:00",4547670.89,7.89
"2016-12-12 00:00:00",1755014.28,8.06
"2016-12-19 00:00:00",3818906.4,7.52
"2016-12-26 00:00:00",3270681.29,7.76
"2017-01-02 00:00:00",4023493.88,9.65
"2017-01-09 00:00:00",2475186.1,9.99
"2017-01-16 00:00:00",2991295.34,10.36
"2017-01-23 00:00:00",1310368.67,10.59
"2017-01-30 00:00:00",2476973.87,10.83
"2017-02-06 00:00:00",2048341.77,11.28
"2017-02-13 00:00:00",2939943.66,12.64
"2017-02-20 00:00:00",2451044.09,13.05
"2017-02-27 00:00:00",8533022.08,17.64
"2017-03-06 00:00:00",4814338.55,19.2
"2017-03-13 00:00:00",10759961.66,35.74
"2017-03-20 00:00:00",4541490.35,45.44
"2017-03-27 00:00:00",4390036.5,50.45
"2017-04-03 00:00:00",4920216.01,44.18
"2017-04-10 00:00:00",2922214.78,47.54
"2017-04-17 00:00:00",2413991.49,48.56
"2017-04-24 00:00:00",4313546.35,60.58
"2017-05-01 00:00:00",8538953.92,83.73
"2017-05-08 00:00:00",3288361.44,86.56
"2017-05-15 00:00:00",4347351.08,104.16
"2017-05-22 00:00:00",6634933.83,168.13
"2017-05-29 00:00:00",4688291.75,216.83
"2017-06-05 00:00:00",3868656.46,275.86
"2017-06-12 00:00:00",4881631.73,351.52
"2017-06-19 00:00:00",4897622.46,312.53
"2017-06-26 00:00:00",6289710.84,275.17
"2017-07-03 00:00:00",2523414.86,259.89
"2017-07-10 00:00:00",4317203.33,193.58
"2017-07-17 00:00:00",3360328.39,213.77
"2017-07-24 00:00:00",2973726.19,204.58
"2017-07-31 00:00:00",2317829.87,226.15
"2017-08-07 00:00:00",2981732.59,294.11
"2017-08-14 00:00:00",2331784.59,294.86
"2017-08-21 00:00:00",2365295.16,324.93
"2017-08-28 00:00:00",2844423.11,367.62
"2017-09-04 00:00:00",3475320.7,312.31
