"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"01/29/2016","10","7","6"
"01/30/2016","12","8","9"
"01/31/2016","4","2","2"
"02/01/2016","11","6","7"
"02/02/2016","165","163","7"
"02/03/2016","17","12","10"
"02/04/2016","13","8","5"
"02/05/2016","8","5","3"
"02/06/2016","7","5","5"
"02/07/2016","18","10","9"
"02/08/2016","17","12","12"
"02/09/2016","7","5","4"
"02/10/2016","19","13","7"
"02/11/2016","28","21","12"
"02/12/2016","13","10","3"
"02/13/2016","6","3","3"
"02/14/2016","7","4","4"
"02/15/2016","16","13","9"
"02/16/2016","23","15","9"
"02/17/2016","27","16","15"
"02/18/2016","10","8","2"
"02/19/2016","6","4","2"
"02/20/2016","0","0","0"
"02/21/2016","6","3","3"
"02/22/2016","16","11","9"
"02/23/2016","15","10","7"
"02/24/2016","19","13","6"
"02/25/2016","20","16","10"
"02/26/2016","17","14","7"
"02/27/2016","14","8","6"
"02/28/2016","13","7","7"
"02/29/2016","23","16","13"
"03/01/2016","25","17","14"
"03/02/2016","40","33","14"
"03/03/2016","23","17","11"
"03/04/2016","115","107","20"
"03/05/2016","7","5","2"
"03/06/2016","13","9","7"
"03/07/2016","28","18","12"
"03/08/2016","35","26","22"
"03/09/2016","43","33","17"
"03/10/2016","40","27","15"
"03/11/2016","44","31","20"
"03/12/2016","32","23","15"
"03/13/2016","26","19","9"
"03/14/2016","44","34","12"
"03/15/2016","28","19","14"
"03/16/2016","28","20","16"
"03/17/2016","28","20","15"
"03/18/2016","31","21","12"
"03/19/2016","24","16","12"
"03/20/2016","47","38","15"
"03/21/2016","229","127","176"
"03/22/2016","1910","1732","510"
"03/23/2016","536","283","448"
"03/24/2016","2513","2335","743"
"03/25/2016","1281","1116","481"
"03/26/2016","5177","5123","395"
"03/27/2016","422","250","353"
"03/28/2016","2480","2361","535"
"03/29/2016","499","279","425"
"03/30/2016","1745","1540","693"
"03/31/2016","488","312","423"
"04/01/2016","2137","2011","591"
"04/02/2016","413","247","349"
"04/03/2016","415","277","351"
"04/04/2016","2194","2062","595"
"04/05/2016","5838","5796","394"
"04/06/2016","1019","829","391"
"04/07/2016","1583","797","1505"
"04/08/2016","2210","2098","595"
"04/09/2016","904","821","274"
"04/10/2016","429","271","347"
"04/11/2016","408","237","350"
