"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","644"
"7/31/2015","1438300800","582"
"8/1/2015","1438387200","575"
"8/2/2015","1438473600","581"
"8/3/2015","1438560000","587"
"8/4/2015","1438646400","587"
"8/5/2015","1438732800","579"
"8/6/2015","1438819200","584"
"8/7/2015","1438905600","633"
"8/8/2015","1438992000","668"
"8/9/2015","1439078400","618"
"8/10/2015","1439164800","631"
"8/11/2015","1439251200","692"
"8/12/2015","1439337600","653"
"8/13/2015","1439424000","666"
"8/14/2015","1439510400","660"
"8/15/2015","1439596800","638"
"8/16/2015","1439683200","641"
"8/17/2015","1439769600","635"
"8/18/2015","1439856000","648"
"8/19/2015","1439942400","653"
"8/20/2015","1440028800","650"
"8/21/2015","1440115200","668"
"8/22/2015","1440201600","648"
"8/23/2015","1440288000","681"
"8/24/2015","1440374400","673"
"8/25/2015","1440460800","680"
"8/26/2015","1440547200","669"
"8/27/2015","1440633600","708"
"8/28/2015","1440720000","691"
"8/29/2015","1440806400","682"
"8/30/2015","1440892800","689"
"8/31/2015","1440979200","731"
"9/1/2015","1441065600","741"
"9/2/2015","1441152000","766"
"9/3/2015","1441238400","755"
"9/4/2015","1441324800","762"
"9/5/2015","1441411200","753"
"9/6/2015","1441497600","733"
"9/7/2015","1441584000","753"
"9/8/2015","1441670400","759"
"9/9/2015","1441756800","765"
"9/10/2015","1441843200","730"
"9/11/2015","1441929600","736"
"9/12/2015","1442016000","761"
"9/13/2015","1442102400","764"
"9/14/2015","1442188800","771"
"9/15/2015","1442275200","755"
"9/16/2015","1442361600","739"
"9/17/2015","1442448000","753"
"9/18/2015","1442534400","785"
"9/19/2015","1442620800","735"
"9/20/2015","1442707200","766"
"9/21/2015","1442793600","779"
"9/22/2015","1442880000","807"
"9/23/2015","1442966400","784"
"9/24/2015","1443052800","782"
"9/25/2015","1443139200","767"
"9/26/2015","1443225600","765"
"9/27/2015","1443312000","725"
"9/28/2015","1443398400","755"
"9/29/2015","1443484800","762"
"9/30/2015","1443571200","742"
"10/1/2015","1443657600","741"
"10/2/2015","1443744000","773"
"10/3/2015","1443830400","769"
"10/4/2015","1443916800","776"
"10/5/2015","1444003200","771"
"10/6/2015","1444089600","781"
"10/7/2015","1444176000","808"
"10/8/2015","1444262400","789"
"10/9/2015","1444348800","779"
"10/10/2015","1444435200","778"
"10/11/2015","1444521600","748"
"10/12/2015","1444608000","787"
"10/13/2015","1444694400","818"
"10/14/2015","1444780800","791"
"10/15/2015","1444867200","824"
"10/16/2015","1444953600","827"
"10/17/2015","1445040000","788"
"10/18/2015","1445126400","812"
"10/19/2015","1445212800","802"
"10/20/2015","1445299200","770"
"10/21/2015","1445385600","774"
"10/22/2015","1445472000","782"
"10/23/2015","1445558400","818"
"10/24/2015","1445644800","771"
"10/25/2015","1445731200","751"
"10/26/2015","1445817600","765"
"10/27/2015","1445904000","815"
"10/28/2015","1445990400","808"
"10/29/2015","1446076800","814"
"10/30/2015","1446163200","781"
"10/31/2015","1446249600","812"
"11/1/2015","1446336000","783"
"11/2/2015","1446422400","779"
"11/3/2015","1446508800","844"
"11/4/2015","1446595200","762"
"11/5/2015","1446681600","813"
"11/6/2015","1446768000","812"
"11/7/2015","1446854400","1005"
"11/8/2015","1446940800","1015"
