Date,Bitcoin,Crypto,Cryptocurrency,ETH,Crypto Ban,Crypto Bubble,Bull,Bear,Hack,Crypto Market,Stocks,Time to buy,should I sell,how to buy,exchange,wallet,mining,blockchain,Bitcoin_delta,Crypto_delta,Cryptocurrency_delta,ETH_delta,Crytpo Regulations_delta,Crypto Ban_delta,Crypto Bubble_delta,Bull_delta,Bear_delta,Hack_delta,Crypto Market_delta,Stocks_delta,Time to buy_delta,should I sell_delta,how to buy_delta,exchange_delta,wallet_delta,mining_delta,blockchain_delta,Open,High,Low,Close,Volume,PriceDelta,VolumeDelta,Twitter_Positive,Twitter_Neutral,Twitter_Negative,Telegram_Positive,Telegram_Neutral,Telegram_Negative,EMA3,EMA7,EMA14,EMA20,EMA50,Volume_USDT,VolumeDelta_USDT,Volatility_USDT,Yesterday_Price,3day_Past_Mean_Price,7day_Past_Mean_Price,Yesterday_Volume,3day_Past_Mean_Volume,7day_Past_Mean_Volume,Yesterday_Vol_USDT,3day_Past_Mean_Vol_USDT,7day_Past_Mean_Vol_USDT,RSI,RSI_BuySellFlag,EMA_BuySellFlag
7/19/2019,64,7,4,0,0,0,79,84,41,0,18,5,3,51,82,20,14,2,-4,2,4,0,0,0,0,4,4,0,0,3,-3,0,-11,4,1,1,-5,226.6577,226.940475,215.838242,221.33342,7606433131,-5.232742,-1721382928,330,2380,91,1,2,0,221.2218008,230.6486096,248.6347077,257.4657771,261.3817488,21977173846,-4629849493,0.023965,226.566162,219.7948507,226.4837276,9327816059,8773998943,8625351483,26607023339,25502492370,25160959191,37.8634344,0,0
7/20/2019,51,4,2,4,0,0,75,91,40,2,15,8,0,59,44,23,12,1,-13,-3,-2,4,0,0,0,-4,7,-1,2,-3,3,-3,8,-38,3,-2,-1,221.412659,234.198456,221.189484,229.119217,7976245988,7.785797,369812857,492,3353,122,0,2,1,225.1705089,230.2662614,246.0326422,254.7661047,260.1165515,21153364428,-823809418,0.016898,221.33342,225.672933,220.7209299,7606433131,8303498393,8805268135,21977173846,23245853871,25121597796,40.58886814,0,0
7/21/2019,54,4,7,1,0,2,93,96,39,0,14,4,0,75,45,23,9,5,3,0,5,-3,0,0,2,18,5,-1,-2,-1,-4,0,16,1,0,-3,4,229.167694,229.861664,219.027756,225.630768,6685082868,-3.488449,-1291163120,428,3566,115,0,1,0,225.4006384,229.1073881,243.3123923,251.9913108,258.7641678,18408364222,-2745000206,0.013571,229.119217,225.361135,220.4427447,7976245988,7422587329,8534802918,21153364428,20512967499,24338221703,39.74764015,0,0
7/22/2019,45,7,3,0,3,0,89,83,49,2,12,8,0,80,52,22,12,5,-9,3,-4,-1,0,3,-2,-4,-13,10,2,-2,4,0,5,7,-1,3,0,225.698654,226.862579,213.44838,217.560013,6338843919,-8.070755,-346238949,545,4293,104,0,3,0,221.4803257,226.2205443,239.8787418,248.7121396,257.1483186,17683364720,-724999502,0.021213,225.630768,224.1033327,218.6976036,6685082868,7000057592,8051255728,18408364222,19081697790,22881304745,37.79591734,0,0
7/23/2019,65,5,5,3,0,0,46,84,42,0,16,13,3,94,64,26,11,5,20,-2,2,3,0,-3,0,-43,1,-7,-2,4,5,3,14,12,4,-1,0,217.568466,218.518051,209.638123,212.728516,6976091534,-4.831497,637247615,455,4132,109,0,3,0,217.1044209,222.8475372,236.2587117,245.2851278,255.4063656,19014521713,1331156993,0.012032,217.560013,218.6397657,220.6318666,6338843919,6666672774,7756894448,17683364720,18368750218,21823870313,36.63615524,0,0
7/24/2019,73,6,6,3,0,0,44,84,43,1,15,11,0,83,56,22,13,9,8,1,1,0,0,0,0,-2,0,1,1,-1,-2,-3,-11,-8,-4,2,4,212.553818,217.535431,203.893402,217.046371,7168982843,4.317855,192891309,493,4242,78,0,0,0,217.0753959,221.3972457,233.6970662,242.5957224,253.9020521,19783566756,769045043,0.015688,212.728516,215.7783,221.4263524,6976091534,6827972765,7439928049,19014521713,18827151063,20661054146,38.45374829,0,0
7/25/2019,76,3,2,0,0,0,51,83,53,0,16,8,0,64,61,22,16,4,3,-3,-4,-3,0,0,0,7,-1,10,-1,1,-3,0,-19,5,0,3,-5,216.969116,224.254196,216.135147,219.617996,6731281160,2.571625,-437701683,481,4257,86,0,1,0,218.346696,220.9524333,231.8198569,240.4073675,252.5575793,17296727538,-2486839218,0.019429,217.046371,216.4642943,220.4337573,7168982843,6958785179,7068994492,19783566756,18698272002,19331011889,39.5656421,0,0
7/26/2019,66,4,5,3,0,1,50,82,43,0,14,8,0,96,69,25,13,5,-10,1,3,3,0,0,1,-1,-1,-10,0,-2,0,0,32,8,3,-3,1,219.628128,220.236389,214.125687,219.629608,5729852178,0.011612,-1001428982,451,4310,101,0,1,0,218.988152,220.6217269,230.1944904,238.4285332,251.2662863,15599639005,-1697088533,0.011817,219.617996,218.7646583,220.1903556,6731281160,6543372060,6800911499,17296727538,17559977766,18419935483,39.57095084,0,0
7/27/2019,76,5,8,3,0,1,53,88,55,0,12,0,0,93,54,19,13,5,10,1,3,0,0,0,0,3,6,12,0,-2,-8,0,-3,-15,-6,0,0,219.61763,223.517258,204.903931,207.40831,6257703908,-12.221298,527851730,336,2344,127,0,1,0,213.198231,217.3183727,227.156333,235.4742263,249.5463657,18615240948,3015601943,0.026777,219.629608,215.5519713,217.0887974,5729852178,6239612415,6555405487,15599639005,17170535830,18057346415,35.98785387,0,0
7/28/2019,63,7,5,0,0,3,61,90,58,1,9,10,9,91,50,18,12,4,-13,2,-3,-3,0,0,2,8,2,3,1,-3,10,9,-2,-4,-1,-1,-1,207.413773,212.04184,202.252899,211.186554,5504887934,3.778244,-752815974,345,2597,70,0,0,0,212.1923925,215.785418,225.0270291,233.1611146,248.0420593,14944677257,-3670563691,0.025109,207.40831,212.7414907,215.0253383,6257703908,5830814673,6386806211,18615240948,16386519070,17562533991,37.8611341,0,0
7/29/2019,57,5,6,4,0,0,57,100,49,0,15,5,0,98,53,30,14,3,-6,-2,1,4,0,0,-3,-4,10,-9,-1,6,-5,-9,7,3,12,2,-1,211.123657,213.932053,208.764313,211.268051,5485190664,0.081497,-19697270,366,2740,74,0,1,0,211.7302217,214.6560763,223.1924987,231.0760609,246.5999413,15509464207,564786950,0.014492,211.186554,209.954305,214.1264866,5504887934,5749260835,6264855746,14944677257,16356460804,17251976775,37.90334697,0,0
7/30/2019,75,8,7,6,0,3,76,81,47,0,18,8,0,89,63,25,17,1,18,3,1,2,0,0,3,19,-19,-2,0,3,3,0,-9,10,-5,3,-2,211.339203,213.614075,206.867615,210.522598,5489918859,-0.745453,4728195,440,2734,88,0,3,0,211.1264099,213.6227067,221.5031786,229.1185883,245.1851436,15142268405,-367195802,0.011371,211.268051,210.992401,213.8113554,5485190664,5493332486,6052545364,15509464207,15198803290,16698797731,37.65139028,0,0
7/31/2019,74,10,9,1,0,2,66,81,53,0,16,9,3,89,65,23,12,4,-1,2,2,-5,0,0,-1,-10,0,6,0,-2,1,3,0,2,-2,-5,3,210.492416,218.654144,210.437912,218.654144,6003828340,8.131546,513909481,532,2863,77,0,3,0,214.8902769,214.880566,221.1233073,228.1219745,244.1447122,17287662489,2145394084,0.009452,210.522598,213.4815977,214.0410373,5489918859,5659645954,5886094720,15142268405,15979798367,16342239978,42.16743578,0,0
8/1/2019,63,7,3,2,3,0,63,75,43,0,17,0,0,0,0,0,11,0,-11,-3,-6,1,0,3,-2,-3,-6,-10,0,1,-9,-3,-89,-65,-23,-1,-4,218.554596,218.812653,212.914505,217.808441,5965442642,-0.845703,-38385698,391,2822,56,1,1,0,216.349359,215.6125348,220.6813251,227.1397333,243.1119173,17335442457,47779968,0.009912,218.654144,215.6617277,213.7825294,6003828340,5819729947,5776689218,17287662489,16588457784,16347770681,41.82810043,0,0
