"DateTime","Average Priority Fee","Price"
"2021-11-23 00:00:00",1e-8,4226.295
"2021-11-24 00:00:00",1e-8,4271.355
"2021-11-25 00:00:00",8e-9,4401.985000000001
"2021-11-26 00:00:00",8e-9,4239.07
"2021-11-27 00:00:00",1.7e-8,4109.405
"2021-11-28 00:00:00",1e-8,4134.245
"2021-11-29 00:00:00",9e-9,4372.555
"2021-11-30 00:00:00",9e-9,4554.27
"2021-12-01 00:00:00",8e-9,4654.8
"2021-12-02 00:00:00",9e-9,4536.16
"2021-12-03 00:00:00",7e-9,4374.3
"2021-12-04 00:00:00",9e-9,3965.26
"2021-12-05 00:00:00",7e-9,4147.5
"2021-12-06 00:00:00",7e-9,4149.85
"2021-12-07 00:00:00",6e-9,4346.08
"2021-12-08 00:00:00",6e-9,4342.584999999999
"2021-12-09 00:00:00",6e-9,4283.6
"2021-12-10 00:00:00",7e-9,4059.81
"2021-12-11 00:00:00",5e-9,3967.42
"2021-12-12 00:00:00",5e-9,4084.83
"2021-12-13 00:00:00",8e-9,3908.795
"2021-12-14 00:00:00",7e-9,3785.215
"2021-12-15 00:00:00",7e-9,3873.3
"2021-12-16 00:00:00",7e-9,4033.585
"2021-12-17 00:00:00",2.5e-8,3848.1800000000003
"2021-12-18 00:00:00",5e-9,3883.925
"2021-12-19 00:00:00",8e-9,3960.145
"2021-12-20 00:00:00",6e-9,3869.3450000000003
"2021-12-21 00:00:00",5e-9,3987.665
"2021-12-22 00:00:00",6e-9,4007.9300000000003
"2021-12-23 00:00:00",1e-8,4025.8050000000003
"2021-12-24 00:00:00",7e-9,4076.1000000000004
"2021-12-25 00:00:00",5e-9,4082.56
"2021-12-26 00:00:00",4e-9,4057.3
"2021-12-27 00:00:00",6e-9,4079.46
"2021-12-28 00:00:00",7e-9,3899.745
"2021-12-29 00:00:00",9e-9,3716.1
"2021-12-30 00:00:00",9e-9,3678.96
"2021-12-31 00:00:00",6e-9,3718.08
"2022-01-01 00:00:00",5e-9,3726.105
"2022-01-02 00:00:00",6e-9,3786.465
"2022-01-03 00:00:00",7e-9,3766.665
"2022-01-04 00:00:00",8e-9,3803.115
"2022-01-05 00:00:00",1e-8,3636.21
"2022-01-06 00:00:00",9e-9,3424.71
"2022-01-07 00:00:00",1e-8,3248.27
"2022-01-08 00:00:00",1e-8,3123.79
"2022-01-09 00:00:00",1.1e-8,3135.08
"2022-01-10 00:00:00",1e-8,3054.9300000000003
"2022-01-11 00:00:00",1.1e-8,3159.24
"2022-01-12 00:00:00",1.8e-8,3311.69
"2022-01-13 00:00:00",9e-9,3323.645
"2022-01-14 00:00:00",1e-8,3267.645
"2022-01-15 00:00:00",1.3e-8,3317.575
"2022-01-16 00:00:00",8e-9,3334.08
"2022-01-17 00:00:00",2.1e-8,3250.885
"2022-01-18 00:00:00",1.1e-8,3164.825
"2022-01-19 00:00:00",1.2e-8,3111.62
"2022-01-20 00:00:00",1.5e-8,3130.01
"2022-01-21 00:00:00",1.1e-8,2753.46
"2022-01-22 00:00:00",1.1e-8,2466.1850000000004
"2022-01-23 00:00:00",7e-9,2461.135
"2022-01-24 00:00:00",1.1e-8,2351.2200000000003
"2022-01-25 00:00:00",1.5e-8,2430
"2022-01-26 00:00:00",9e-9,2563.0699999999997
"2022-01-27 00:00:00",9e-9,2418.77
"2022-01-28 00:00:00",7e-9,2459.32
