Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,1.010870,1.013270,0.996515,1.008180,1.008180,358188000
2017-11-10,1.006500,1.024230,0.995486,1.006010,1.006010,756446016
2017-11-11,1.005980,1.026210,0.995799,1.008990,1.008990,746227968
2017-11-12,1.006020,1.105910,0.967601,1.012470,1.012470,1466060032
2017-11-13,1.004480,1.029290,0.975103,1.009350,1.009350,767884032
2017-11-14,1.005240,1.013430,0.996898,1.006830,1.006830,429857984
2017-11-15,1.004580,1.011630,1.000250,1.003180,1.003180,449671008
2017-11-16,1.005820,1.010890,0.993232,1.002120,1.002120,650278976
2017-11-17,0.995758,1.011810,0.995758,1.001390,1.001390,639398016
2017-11-18,1.000650,1.009180,0.996340,1.002310,1.002310,588136000
2017-11-19,1.002370,1.007490,0.996693,1.002440,1.002440,485752992
2017-11-20,1.001380,1.002980,0.996538,1.001920,1.001920,449595008
2017-11-21,1.003470,1.011200,0.988572,0.996047,0.996047,622649024
2017-11-22,0.997427,1.003400,0.992789,1.000150,1.000150,499812000
2017-11-23,0.998658,1.006340,0.992239,0.994631,0.994631,735883008
2017-11-24,1.004140,1.007130,0.988004,1.002330,1.002330,848627968
2017-11-25,1.002320,1.009070,0.995076,1.005410,1.005410,651987968
2017-11-26,1.004220,1.017420,1.000560,1.008680,1.008680,636451968
2017-11-27,1.006750,1.020170,0.998126,1.001290,1.001290,784436992
2017-11-28,1.002870,1.006480,0.996048,1.000140,1.000140,794764032
2017-11-29,1.000130,1.048450,0.955618,0.990606,0.990606,1672120064
2017-11-30,1.003860,1.028670,0.989319,1.008100,1.008100,1043969984
2017-12-01,1.007200,1.019210,0.993043,1.009780,1.009780,749395968
2017-12-02,1.008950,1.016770,0.995611,0.999654,0.999654,679950016
2017-12-03,1.001020,1.029540,0.985320,1.000660,1.000660,946748992
2017-12-04,1.002450,1.014050,0.992132,1.003670,1.003670,668510016
2017-12-05,1.003510,1.008370,0.996458,1.001970,1.001970,814145984
2017-12-06,0.999760,1.020040,0.995840,1.009910,1.009910,1281490048
2017-12-07,1.007070,1.076950,1.001070,1.031660,1.031660,1671609984
2017-12-08,1.036330,1.057660,0.986563,1.017600,1.017600,1993030016
2017-12-09,1.020580,1.047260,0.993560,1.017130,1.017130,1598909952
2017-12-10,1.022060,1.044660,0.971536,1.017750,1.017750,1649500032
2017-12-11,1.012720,1.029630,0.999950,1.018560,1.018560,1542119936
2017-12-12,1.018820,1.081670,1.000870,1.077880,1.077880,2240839936
2017-12-13,1.080950,1.088000,1.019460,1.027160,1.027160,2198139904
2017-12-14,1.026720,1.051420,1.006690,1.008190,1.008190,2336179968
2017-12-15,1.009820,1.018730,0.995525,1.016100,1.016100,2044499968
2017-12-16,1.017360,1.019370,1.001820,1.007420,1.007420,1592729984
2017-12-17,1.011740,1.016400,1.002860,1.009240,1.009240,1931020032
2017-12-18,1.010520,1.018300,0.995740,1.013020,1.013020,2517230080
2017-12-19,1.013130,1.033970,0.996768,1.010680,1.010680,3073860096
2017-12-20,1.008410,1.019190,0.989079,1.000180,1.000180,3751790080
2017-12-21,1.002310,1.040410,0.993811,1.009210,1.009210,3106720000
2017-12-22,1.006350,1.059090,0.963089,1.017950,1.017950,4687949824
2017-12-23,1.012390,1.052000,1.007260,1.045260,1.045260,2353740032
2017-12-24,1.050710,1.069220,1.021830,1.023030,1.023030,2611589888
2017-12-25,1.026480,1.031720,1.008940,1.011130,1.011130,1708380032
2017-12-26,1.010490,1.017320,0.998580,1.004070,1.004070,1854780032
2017-12-27,1.004690,1.014840,0.996458,1.003660,1.003660,1939949952
2017-12-28,1.003310,1.033060,1.000550,1.006590,1.006590,2211409920
2017-12-29,1.010950,1.015190,1.000880,1.005640,1.005640,1929090048
2017-12-30,1.007720,1.034780,0.992842,1.021350,1.021350,2711059968
2017-12-31,1.024310,1.024310,1.000270,1.012260,1.012260,1927010048
2018-01-01,1.012550,1.015360,1.001530,1.007280,1.007280,1685299968
2018-01-02,1.005740,1.009880,0.993250,1.004900,1.004900,2635859968
2018-01-03,1.006600,1.023280,1.002640,1.013440,1.013440,2471689984
2018-01-04,1.013200,1.016180,0.993822,1.002530,1.002530,3200130048
2018-01-05,1.001750,1.005010,0.985915,0.998634,0.998634,3096620032
2018-01-06,1.000280,1.012090,0.996847,1.008990,1.008990,2620080128
2018-01-07,1.007270,1.015720,0.998208,1.001570,1.001570,2338180096
2018-01-08,1.005140,1.042360,0.997617,1.009320,1.009320,3815749888
2018-01-09,1.008580,1.014300,1.000660,1.005990,1.005990,2766180096
2018-01-10,1.005150,1.013820,0.996446,1.001280,1.001280,3189860096
2018-01-11,0.999976,1.023520,0.990198,1.001710,1.001710,3841110016
2018-01-12,1.006250,1.019100,0.997711,1.006080,1.006080,2668219904
2018-01-13,1.004130,1.012560,0.996576,1.002020,1.002020,2759879936
2018-01-14,1.004360,1.040310,1.000640,1.016120,1.016120,2960410112
2018-01-15,1.015390,1.024000,1.001720,1.006620,1.006620,2557179904
2018-01-16,1.006770,1.046450,0.999001,1.034150,1.034150,5552929792
2018-01-17,1.032870,1.069890,0.997739,1.014530,1.014530,5588839936
2018-01-18,1.017260,1.039900,1.001270,1.023110,1.023110,4302300160
2018-01-19,1.023320,1.042220,1.002490,1.004540,1.004540,2876989952
2018-01-20,1.006990,1.013500,0.991443,1.001110,1.001110,2942779904
2018-01-21,1.002920,1.026610,0.997069,0.999861,0.999861,3302010112
2018-01-22,1.004000,1.019310,0.991510,1.005040,1.005040,3274899968
2018-01-23,1.004000,1.019530,0.984474,1.005050,1.005050,3126830080
2018-01-24,1.000840,1.030700,0.992246,0.997484,0.997484,2620630016
2018-01-25,1.005530,1.012740,0.987358,0.999595,0.999595,2571930112
2018-01-26,0.997571,1.021540,0.985767,1.004140,1.004140,2957009920
2018-01-27,1.002810,1.009800,0.992227,0.993325,0.993325,2051980032
2018-01-28,0.996548,1.001100,0.981275,0.988790,0.988790,2546639872
2018-01-29,0.988440,1.001580,0.981718,0.995319,0.995319,2031160064
2018-01-30,0.998672,1.012380,0.975436,0.986486,0.986486,3108630016
2018-01-31,0.992538,1.002600,0.971403,0.990274,0.990274,2663930112
2018-02-01,0.991558,1.011610,0.954771,0.986939,0.986939,3498899968
2018-02-02,0.986294,1.020230,0.925144,0.990747,0.990747,4785869824
2018-02-03,0.994071,1.015870,0.982879,1.001310,1.001310,2488529920
2018-02-04,1.004380,1.010130,0.975209,1.010130,1.010130,2504640000
2018-02-05,0.995794,1.016280,0.944777,0.996308,0.996308,4078980096
2018-02-06,0.978500,1.020170,0.958318,1.010090,1.010090,6247249920
2018-02-07,1.002150,1.019890,0.984647,1.001400,1.001400,3307539968
2018-02-08,0.994970,1.034030,0.987534,1.018910,1.018910,2466619904
2018-02-09,1.021090,1.048180,0.995049,1.002110,1.002110,1631139968
2018-02-10,1.003480,1.014950,0.993346,1.003700,1.003700,2628379904
2018-02-11,1.004920,1.012520,0.992728,0.999251,0.999251,2431739904
2018-02-12,1.000210,1.007960,0.990812,1.000090,1.000090,2457489920
2018-02-13,1.000800,1.008650,0.995931,1.001100,1.001100,2226759936
2018-02-14,0.997715,1.006810,0.993292,1.000770,1.000770,3066190080
2018-02-15,1.005040,1.019210,0.997203,1.005410,1.005410,3286909952
2018-02-16,1.005040,1.010020,0.996746,1.002100,1.002100,2605819904
2018-02-17,1.004740,1.011610,0.996919,1.003700,1.003700,2797600000
2018-02-18,1.004680,1.016190,0.998832,1.005190,1.005190,3124179968
2018-02-19,1.001330,1.006080,0.994041,1.000610,1.000610,2546439936
2018-02-20,1.000650,1.009610,0.994081,1.000610,1.000610,3126220032
2018-02-21,1.005360,1.010390,0.988699,1.000970,1.000970,3459830016
2018-02-22,1.001530,1.010750,0.993998,1.004090,1.004090,2904620032
2018-02-23,1.008450,1.009660,0.993702,1.001570,1.001570,2815280128
2018-02-24,1.001140,1.014000,0.993887,1.002840,1.002840,2417710080
2018-02-25,1.004790,1.009000,0.996229,1.000340,1.000340,1968850048
2018-02-26,0.997664,1.009520,0.989677,0.999561,0.999561,2362210048
2018-02-27,0.998677,1.008470,0.991642,1.000520,1.000520,2473019904
2018-02-28,1.003290,1.007050,0.992791,0.998903,0.998903,2414230016
2018-03-01,0.999847,1.005180,0.995679,1.000420,1.000420,2285570048
2018-03-02,0.998189,1.005600,0.994439,0.999730,0.999730,2172250112
2018-03-03,0.995248,1.006190,0.993477,1.000870,1.000870,2181489920
2018-03-04,1.000190,1.004950,0.995287,0.997612,0.997612,2133910016
2018-03-05,0.997521,1.001720,0.995019,0.998864,0.998864,2227680000
2018-03-06,1.005040,1.005960,0.996260,1.000500,1.000500,2491849984
2018-03-07,0.998354,1.024120,0.981378,1.002480,1.002480,3037380096
2018-03-08,1.001530,1.011340,0.985734,1.005910,1.005910,2636689920
2018-03-09,0.999723,1.013490,0.988564,1.001660,1.001660,3131620096
2018-03-10,0.997607,1.013480,0.994936,1.005190,1.005190,2218810112
2018-03-11,1.003470,1.013560,0.994709,1.003840,1.003840,2394810112
2018-03-12,1.000180,1.014080,0.988530,1.002350,1.002350,2155559936
2018-03-13,1.001840,1.012090,0.987195,0.999843,0.999843,1890040064
2018-03-14,0.996581,1.020330,0.991337,1.002750,1.002750,2151670016
2018-03-15,1.000660,1.011920,0.984939,1.001280,1.001280,2259869952
2018-03-16,0.997509,1.011510,0.989567,0.998551,0.998551,1872050048
2018-03-17,1.001550,1.009590,0.990731,1.001620,1.001620,1687920000
2018-03-18,1.005170,1.013520,0.979781,1.003080,1.003080,2639470080
2018-03-19,0.982194,1.020820,0.982194,0.989867,0.989867,2638089984
2018-03-20,1.006020,1.006330,0.989570,0.996832,0.996832,2506319872
2018-03-21,0.996938,1.009010,0.992647,0.999244,0.999244,2353890048
2018-03-22,0.999460,1.011180,0.993468,0.998982,0.998982,2171849984
2018-03-23,0.999221,1.008610,0.990235,0.990235,0.990235,1995699968
2018-03-24,1.001640,1.009100,0.994299,1.009100,1.009100,1785500032
2018-03-25,1.000120,1.010180,0.994482,0.999686,0.999686,1511320064
2018-03-26,0.996600,1.013080,0.983682,1.003410,1.003410,2183960064
2018-03-27,1.002420,1.012920,0.989473,1.001610,1.001610,2051079936
2018-03-28,1.002280,1.009990,0.993721,0.999204,0.999204,1857049984
2018-03-29,1.002600,1.011020,0.982472,0.998623,0.998623,2486609920
2018-03-30,0.995897,1.008470,0.979633,0.998943,0.998943,2596849920
2018-03-31,0.997014,1.008490,0.993569,1.000770,1.000770,1763719936
2018-04-01,0.995702,1.009850,0.980778,0.999810,0.999810,1832530048
2018-04-02,1.003330,1.007250,0.988060,1.000130,1.000130,1550880000
2018-04-03,0.997587,1.007040,0.995073,1.000370,1.000370,1753520000
2018-04-04,1.003980,1.014520,0.994270,1.000830,1.000830,1772329984
2018-04-05,1.002050,1.009760,0.987434,1.002530,1.002530,1609469952
