"Date(UTC)","UnixTimeStamp","No. of ERC20 Token Transfers"
"2018-11-03","1541203200","325996"
"2018-11-04","1541289600","271182"
"2018-11-05","1541376000","254816"
"2018-11-06","1541462400","339161"
"2018-11-07","1541548800","304557"
"2018-11-08","1541635200","315268"
"2018-11-09","1541721600","301642"
"2018-11-10","1541808000","327033"
"2018-11-11","1541894400","399326"
"2018-11-12","1541980800","316717"
"2018-11-13","1542067200","281355"
"2018-11-14","1542153600","292462"
"2018-11-15","1542240000","233230"
"2018-11-16","1542326400","264004"
"2018-11-17","1542412800","262588"
"2018-11-18","1542499200","243736"
"2018-11-19","1542585600","258576"
"2018-11-20","1542672000","276695"
"2018-11-21","1542758400","317301"
"2018-11-22","1542844800","310142"
"2018-11-23","1542931200","279262"
"2018-11-24","1543017600","265089"
"2018-11-25","1543104000","279125"
"2018-11-26","1543190400","299404"
"2018-11-27","1543276800","333313"
"2018-11-28","1543363200","308999"
"2018-11-29","1543449600","280025"
"2018-11-30","1543536000","363108"
"2018-12-01","1543622400","245267"
"2018-12-02","1543708800","253299"
"2018-12-03","1543795200","282990"
"2018-12-04","1543881600","276718"
"2018-12-05","1543968000","308057"
"2018-12-06","1544054400","322519"
"2018-12-07","1544140800","281196"
"2018-12-08","1544227200","299509"
"2018-12-09","1544313600","305534"
"2018-12-10","1544400000","384930"
"2018-12-11","1544486400","361252"
"2018-12-12","1544572800","369658"
"2018-12-13","1544659200","329231"
"2018-12-14","1544745600","313661"
"2018-12-15","1544832000","320872"
"2018-12-16","1544918400","366853"
"2018-12-17","1545004800","333888"
"2018-12-18","1545091200","326153"
"2018-12-19","1545177600","317298"
"2018-12-20","1545264000","336525"
"2018-12-21","1545350400","318356"
"2018-12-22","1545436800","319006"
"2018-12-23","1545523200","277411"
"2018-12-24","1545609600","333219"
"2018-12-25","1545696000","285056"
"2018-12-26","1545782400","348491"
"2018-12-27","1545868800","387855"
"2018-12-28","1545955200","402862"
"2018-12-29","1546041600","345464"
"2018-12-30","1546128000","300068"
"2018-12-31","1546214400","387615"
"2019-01-01","1546300800","282493"
"2019-01-02","1546387200","350991"
"2019-01-03","1546473600","339440"
"2019-01-04","1546560000","310372"
"2019-01-05","1546646400","305018"
"2019-01-06","1546732800","287571"
"2019-01-07","1546819200","320484"
"2019-01-08","1546905600","303793"
"2019-01-09","1546992000","301296"
"2019-01-10","1547078400","322495"
"2019-01-11","1547164800","309326"
"2019-01-12","1547251200","251020"
"2019-01-13","1547337600","267725"
"2019-01-14","1547424000","253511"
"2019-01-15","1547510400","250482"
"2019-01-16","1547596800","258389"
"2019-01-17","1547683200","292396"
"2019-01-18","1547769600","314265"
"2019-01-19","1547856000","325482"
"2019-01-20","1547942400","352724"
"2019-01-21","1548028800","362179"
"2019-01-22","1548115200","409857"
"2019-01-23","1548201600","277494"
"2019-01-24","1548288000","305080"
"2019-01-25","1548374400","305279"
"2019-01-26","1548460800","319567"
"2019-01-27","1548547200","285539"
"2019-01-28","1548633600","292129"
"2019-01-29","1548720000","341264"
"2019-01-30","1548806400","317055"
"2019-01-31","1548892800","309022"
"2019-02-01","1548979200","289787"
"2019-02-02","1549065600","276583"
"2019-02-03","1549152000","241834"
"2019-02-04","1549238400","262765"
"2019-02-05","1549324800","216499"
"2019-02-06","1549411200","227634"
"2019-02-07","1549497600","230809"
"2019-02-08","1549584000","253033"
"2019-02-09","1549670400","252930"
"2019-02-10","1549756800","204774"
"2019-02-11","1549843200","224251"
"2019-02-12","1549929600","255403"
"2019-02-13","1550016000","286072"
"2019-02-14","1550102400","294993"
"2019-02-15","1550188800","311038"
"2019-02-16","1550275200","261147"
"2019-02-17","1550361600","264686"
"2019-02-18","1550448000","289177"
"2019-02-19","1550534400","322370"
"2019-02-20","1550620800","344624"
"2019-02-21","1550707200","330707"
"2019-02-22","1550793600","359508"
"2019-02-23","1550880000","346227"
"2019-02-24","1550966400","331526"
"2019-02-25","1551052800","321676"
"2019-02-26","1551139200","289973"
"2019-02-27","1551225600","299542"
"2019-02-28","1551312000","365246"
"2019-03-01","1551398400","415590"
"2019-03-02","1551484800","344950"
"2019-03-03","1551571200","326390"
"2019-03-04","1551657600","445589"
"2019-03-05","1551744000","404711"
"2019-03-06","1551830400","375519"
"2019-03-07","1551916800","348291"
"2019-03-08","1552003200","368519"
"2019-03-09","1552089600","319477"
"2019-03-10","1552176000","275759"
"2019-03-11","1552262400","335378"
"2019-03-12","1552348800","301148"
"2019-03-13","1552435200","387195"
"2019-03-14","1552521600","358641"
"2019-03-15","1552608000","351002"
"2019-03-16","1552694400","287556"
"2019-03-17","1552780800","249376"
"2019-03-18","1552867200","376952"
"2019-03-19","1552953600","459402"
"2019-03-20","1553040000","377361"
"2019-03-21","1553126400","435433"
"2019-03-22","1553212800","406400"
"2019-03-23","1553299200","357268"
"2019-03-24","1553385600","311373"
