"DateTime","Total Volume","Price"
"2015-08-03 00:00:00",5586374.65,1.54
"2015-08-10 00:00:00",2492890.03,1.36
"2015-08-17 00:00:00",1289617.98,1.36
"2015-08-24 00:00:00",394111.59,1.23
"2015-08-31 00:00:00",600036.63,1.28
"2015-09-07 00:00:00",427529.04,1.16
"2015-09-14 00:00:00",465726.24,0.892679
"2015-09-21 00:00:00",298758.85,0.8153
"2015-09-28 00:00:00",422622.79,0.646314
"2015-10-05 00:00:00",257189.7,0.622679
"2015-10-12 00:00:00",466243.27,0.559836
"2015-10-19 00:00:00",495679.7,0.518007
"2015-10-26 00:00:00",863859.07,0.946793
"2015-11-02 00:00:00",809366.1,0.933186
"2015-11-09 00:00:00",586307.67,0.893357
"2015-11-16 00:00:00",542274.42,0.925807
"2015-11-23 00:00:00",549265.81,0.894679
"2015-11-30 00:00:00",221021.76,0.845764
"2015-12-07 00:00:00",325579.64,0.852571
"2015-12-14 00:00:00",533739.85,0.943014
"2015-12-21 00:00:00",148364.15,0.9146
"2015-12-28 00:00:00",333305.8,0.914421
"2016-01-04 00:00:00",385154.23,0.959543
"2016-01-11 00:00:00",595244.82,1.18
"2016-01-18 00:00:00",1276163.63,1.52
"2016-01-25 00:00:00",1324884.26,2.43
"2016-02-01 00:00:00",563975.85,2.47
"2016-02-08 00:00:00",1649495.33,4.48
"2016-02-15 00:00:00",893345.02,4.46
"2016-02-22 00:00:00",1767338.36,5.91
"2016-02-29 00:00:00",1961142.68,8.81
"2016-03-07 00:00:00",1471724.45,11.25
"2016-03-14 00:00:00",1408646.5,11.4
"2016-03-21 00:00:00",747506.29,11.21
"2016-03-28 00:00:00",800589.41,11.51
"2016-04-04 00:00:00",797886.04,10.11
"2016-04-11 00:00:00",812873.04,8.38
"2016-04-18 00:00:00",623792.34,8.45
"2016-04-25 00:00:00",1212790.18,7.85
"2016-05-02 00:00:00",1509654.07,9.46
"2016-05-09 00:00:00",3825068.36,9.95
"2016-05-16 00:00:00",1654625.05,13.03
"2016-05-23 00:00:00",1742875.03,12.3
"2016-05-30 00:00:00",709388.25,13.5
"2016-06-06 00:00:00",978963.85,14.28
"2016-06-13 00:00:00",2896392.97,16.33
"2016-06-20 00:00:00",2849984.94,13.29
"2016-06-27 00:00:00",913531.41,12.51
"2016-07-04 00:00:00",2358785.19,10.73
"2016-07-11 00:00:00",1427291.86,11.13
"2016-07-18 00:00:00",9873046.16,12.76
"2016-07-25 00:00:00",12222152.03,12.71
"2016-08-01 00:00:00",7854092.83,10.45
"2016-08-08 00:00:00",4403897.15,11.72
"2016-08-15 00:00:00",2759839.9,11.03
"2016-08-22 00:00:00",2864371.22,11.16
"2016-08-29 00:00:00",1835772.84,11.63
"2016-09-05 00:00:00",1186073.8,11.67
"2016-09-12 00:00:00",1712194.62,12.19
"2016-09-19 00:00:00",3674225.47,13.28
"2016-09-26 00:00:00",2340233.59,13.18
"2016-10-03 00:00:00",1649075.07,12.9
"2016-10-10 00:00:00",3380191.62,11.92
"2016-10-17 00:00:00",1707312.6,12.11
"2016-10-24 00:00:00",1785419.85,11.26
"2016-10-31 00:00:00",5349046.45,10.99
"2016-11-07 00:00:00",2370056.64,10.48
"2016-11-14 00:00:00",1593342.42,9.88
"2016-11-21 00:00:00",1763409.65,9.47
"2016-11-28 00:00:00",2382462.56,8.18
"2016-12-05 00:00:00",3494771.57,7.89
"2016-12-12 00:00:00",1950884.88,8.06
"2016-12-19 00:00:00",3073635.52,7.52
"2016-12-26 00:00:00",3438927.99,7.76
"2017-01-02 00:00:00",6036092.26,9.65
"2017-01-09 00:00:00",3499555.69,9.99
"2017-01-16 00:00:00",1549610.28,10.36
"2017-01-23 00:00:00",1099972.1,10.59
"2017-01-30 00:00:00",1612491.09,10.83
"2017-02-06 00:00:00",1620878.88,11.28
"2017-02-13 00:00:00",3077117.06,12.64
"2017-02-20 00:00:00",3778430.27,13.05
"2017-02-27 00:00:00",13200179.21,17.64
"2017-03-06 00:00:00",15798305.34,19.2
"2017-03-13 00:00:00",17233081.66,35.74
"2017-03-20 00:00:00",12161436.54,45.44
"2017-03-27 00:00:00",13959712.39,50.45
"2017-04-03 00:00:00",11290477.41,44.18
"2017-04-10 00:00:00",6617521.93,47.54
"2017-04-17 00:00:00",8083829.63,48.56
"2017-04-24 00:00:00",13119447.77,60.58
"2017-05-01 00:00:00",22384930.45,83.73
"2017-05-08 00:00:00",18342225.46,86.56
"2017-05-15 00:00:00",15312303.7,104.16
"2017-05-22 00:00:00",16882788.98,168.13
"2017-05-29 00:00:00",16199297.55,216.83
"2017-06-05 00:00:00",16411703.01,275.86
"2017-06-12 00:00:00",17922520.57,351.52
"2017-06-19 00:00:00",9865454.98,312.53
"2017-06-26 00:00:00",10675906.49,275.17
"2017-07-03 00:00:00",11922151.31,259.89
"2017-07-10 00:00:00",19967663.34,193.58
"2017-07-17 00:00:00",18776161.41,213.77
"2017-07-24 00:00:00",21174112.18,204.58
"2017-07-31 00:00:00",9134922.4,226.15
"2017-08-07 00:00:00",23297626.61,294.11
"2017-08-14 00:00:00",16501652.22,294.86
"2017-08-21 00:00:00",12450705.66,324.93
"2017-08-28 00:00:00",20691284.32,367.62
"2017-09-04 00:00:00",16189763.67,312.31
"2017-09-11 00:00:00",14002879.05,267.55
"2017-09-18 00:00:00",10982189.37,277.7
"2017-09-25 00:00:00",8176348.93,296.65
"2017-10-02 00:00:00",11618515.78,299.7
"2017-10-09 00:00:00",11156500.15,313.92
"2017-10-16 00:00:00",11311271.05,311.44
"2017-10-23 00:00:00",11765521.97,294.64
"2017-10-30 00:00:00",11914767.65,298.46
"2017-11-06 00:00:00",13599699.63,305.66
"2017-11-13 00:00:00",14073426.61,332.44
"2017-11-20 00:00:00",16559116.34,409.66
"2017-11-27 00:00:00",23710095.65,457.44
"2017-12-04 00:00:00",11584409.69,448.22
"2017-12-11 00:00:00",10365963.55,644.9
"2017-12-18 00:00:00",11600809.43,731.5
"2017-12-25 00:00:00",11578044.72,720.52
"2018-01-01 00:00:00",15240388.28,919.17
