"DateTime","Outflow","Price"
"2015-08-03 00:00:00",1069713.39,1.54
"2015-08-10 00:00:00",6740314.81,1.36
"2015-08-17 00:00:00",3133529.19,1.36
"2015-08-24 00:00:00",711497.36,1.23
"2015-08-31 00:00:00",2241947.29,1.28
"2015-09-07 00:00:00",652838.67,1.16
"2015-09-14 00:00:00",1679661.08,0.892679
"2015-09-21 00:00:00",942846.36,0.8153
"2015-09-28 00:00:00",785047.75,0.646314
"2015-10-05 00:00:00",338390.26,0.622679
"2015-10-12 00:00:00",1439025,0.559836
"2015-10-19 00:00:00",1226615.72,0.518007
"2015-10-26 00:00:00",2475587.97,0.946793
"2015-11-02 00:00:00",1496114.15,0.933186
"2015-11-09 00:00:00",2299959.59,0.893357
"2015-11-16 00:00:00",1681597.87,0.925807
"2015-11-23 00:00:00",1983622.14,0.894679
"2015-11-30 00:00:00",445488.03,0.845764
"2015-12-07 00:00:00",972017.8,0.852571
"2015-12-14 00:00:00",1100397.76,0.943014
"2015-12-21 00:00:00",285083.67,0.9146
"2015-12-28 00:00:00",997686.42,0.914421
"2016-01-04 00:00:00",945310.33,0.959543
"2016-01-11 00:00:00",1146690.27,1.18
"2016-01-18 00:00:00",3919104.32,1.52
"2016-01-25 00:00:00",2668595.77,2.43
"2016-02-01 00:00:00",1588225.29,2.47
"2016-02-08 00:00:00",3433268.37,4.48
"2016-02-15 00:00:00",1506580.38,4.46
"2016-02-22 00:00:00",2808264.27,5.91
"2016-02-29 00:00:00",2970694.14,8.81
"2016-03-07 00:00:00",2863375.3,11.25
"2016-03-14 00:00:00",2717814.25,11.4
"2016-03-21 00:00:00",1340899.12,11.21
"2016-03-28 00:00:00",936476.93,11.51
"2016-04-04 00:00:00",1199874.33,10.11
"2016-04-11 00:00:00",1274818.25,8.38
"2016-04-18 00:00:00",866915.41,8.45
"2016-04-25 00:00:00",1471785.4,7.85
"2016-05-02 00:00:00",2318789.99,9.46
"2016-05-09 00:00:00",5942945.1,9.95
"2016-05-16 00:00:00",2938590.55,13.03
"2016-05-23 00:00:00",2622805.84,12.3
"2016-05-30 00:00:00",1330332.83,13.5
"2016-06-06 00:00:00",1873717.08,14.28
"2016-06-13 00:00:00",8035548.85,16.33
"2016-06-20 00:00:00",10369951.82,13.29
"2016-06-27 00:00:00",1441299.39,12.51
"2016-07-04 00:00:00",1922492.56,10.73
"2016-07-11 00:00:00",2482082.23,11.13
"2016-07-18 00:00:00",15414198.1,12.76
"2016-07-25 00:00:00",10854745.6,12.71
"2016-08-01 00:00:00",7632204.7,10.45
"2016-08-08 00:00:00",5877558.49,11.72
"2016-08-15 00:00:00",2230215.34,11.03
"2016-08-22 00:00:00",2382426.67,11.16
"2016-08-29 00:00:00",2236354.65,11.63
"2016-09-05 00:00:00",1562229.36,11.67
"2016-09-12 00:00:00",2468449.23,12.19
"2016-09-19 00:00:00",2260961.18,13.28
"2016-09-26 00:00:00",1762912.99,13.18
"2016-10-03 00:00:00",1308543.79,12.9
"2016-10-10 00:00:00",2230330.87,11.92
"2016-10-17 00:00:00",1069732.31,12.11
"2016-10-24 00:00:00",3160824.5,11.26
"2016-10-31 00:00:00",1477946.43,10.99
"2016-11-07 00:00:00",1732596.63,10.48
"2016-11-14 00:00:00",2220381.22,9.88
"2016-11-21 00:00:00",1055734.38,9.47
"2016-11-28 00:00:00",2585157.93,8.18
"2016-12-05 00:00:00",3742536.52,7.89
"2016-12-12 00:00:00",1387451.75,8.06
"2016-12-19 00:00:00",2536191.97,7.52
"2016-12-26 00:00:00",3047929.05,7.76
"2017-01-02 00:00:00",3327239.41,9.65
"2017-01-09 00:00:00",2067023.25,9.99
"2017-01-16 00:00:00",3079247.73,10.36
"2017-01-23 00:00:00",1209734.08,10.59
"2017-01-30 00:00:00",2058145.56,10.83
"2017-02-06 00:00:00",1969680.39,11.28
"2017-02-13 00:00:00",2622594.77,12.64
"2017-02-20 00:00:00",2039364.19,13.05
"2017-02-27 00:00:00",8167128.32,17.64
"2017-03-06 00:00:00",4304114.82,19.2
"2017-03-13 00:00:00",8914388.98,35.74
"2017-03-20 00:00:00",3961898.07,45.44
"2017-03-27 00:00:00",4256738.77,50.45
"2017-04-03 00:00:00",4955249.43,44.18
"2017-04-10 00:00:00",2788052.05,47.54
"2017-04-17 00:00:00",2092721.27,48.56
"2017-04-24 00:00:00",3500051.52,60.58
"2017-05-01 00:00:00",7032073.47,83.73
"2017-05-08 00:00:00",3261435.54,86.56
"2017-05-15 00:00:00",3813248.44,104.16
"2017-05-22 00:00:00",5893797.55,168.13
"2017-05-29 00:00:00",4143461.29,216.83
"2017-06-05 00:00:00",3281254.91,275.86
"2017-06-12 00:00:00",3933001.05,351.52
"2017-06-19 00:00:00",2935695.61,312.53
"2017-06-26 00:00:00",2643388.35,275.17
"2017-07-03 00:00:00",2121120.94,259.89
"2017-07-10 00:00:00",3467529.82,193.58
"2017-07-17 00:00:00",2340075.96,213.77
"2017-07-24 00:00:00",2531274.78,204.58
"2017-07-31 00:00:00",2011455.58,226.15
"2017-08-07 00:00:00",2624299.26,294.11
"2017-08-14 00:00:00",2512734,294.86
"2017-08-21 00:00:00",2581109.66,324.93
"2017-08-28 00:00:00",2676267.3,367.62
"2017-09-04 00:00:00",2293150.07,312.31
"2017-09-11 00:00:00",2796242.83,267.55
"2017-09-18 00:00:00",1608472.85,277.7
"2017-09-25 00:00:00",1819196.53,296.65
"2017-10-02 00:00:00",1492018.96,299.7
"2017-10-09 00:00:00",1617184.74,313.92
"2017-10-16 00:00:00",1640384.86,311.44
